Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,7/20/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,1.629608236,,,1.868910331,1.610824785,1.722065765,2.046086948,2.011474736,,,,,,,,,,,,,,,,,,,,,,,,,,,2.369786136,1.950429571,1.861299883,2.237069422,2.328002758,2.060751318,1.897472751,1.778592618,1.144715113,1.061433481,1.334356678,0.993453782,0.892336195
Angola,AGO,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,17.15,17.3,22.25,21.9805,19.43233333,17.46366667,7.1025,7.679230769,17.5472119,5.709593679,4.707392768,2.447848157,5.972251161,2.642007707,17.33469221,6.392603154,4.524353815,3.510235068,4.722133792,4.162414738,4.834841974,4.714844928,3.362231849,3.758214638,4.386128818,4.244884292,3.495619369,3.593357737,4.876031618,5.400213168,3.515938573,2.948674478
Albania,ALB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,6.049684683,5.84831709,5.651595745,5.441282088,6.117504506,5.651426333,5.623921762,5.859850733,5.615004704,5.165676383,5.888300825,5.791270528,4.448451975,3.199297902,2.500385762,2.099713037,1.379028731,1.283081573,1.238243077,1.249208821,1.246359339,1.309292251,1.320034991,1.336844537,1.381158684,1.350005455,1.567769463,1.82076528,1.984868857,1.51721714,1.558591893,1.528266338,1.487082577,1.408458226,1.347370244,1.161953073,1.229624041
Andorra,AND,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,4.624765951,4.625487898,5.25810991,3.786178177,4.688721881,5.833810849,5.473423952,5.646633563,7.38456517,8.422073669,8.129826373,7.944765865,7.513712107,7.965756098,,,,10.96812711,10.75568418,9.752906662,8.627451278,9.988937059,12.28580057,11.40702293,11.9787328,10.69622506,,8.532694167,8.054725538,7.804263709,,11.44870183,8.705722317,7.919333799,7.332354439,6.642951371,6.070481824,6.254937,7.159931923,6.187021777,6.076589268,6.507778826,5.989643096,5.55705237,5.163154142,4.719598977,4.47096301,4.602682035,4.256867653,5.408117391,5.117807485,4.99975938,5.181931462,5.819039084,6.294542649,7.459391649,6.230356333
United Arab Emirates,ARE,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.231250302,5.299481134,5.012801249,5.631571668,5.612105047,4.875526903,4.692310724,4.611473885,3.656477456,3.225972542,3.28052137,3.668022985,5.457107235,6.038592209,5.466314526,5.075556494,6.034686252,5.643651351,,
Argentina,ARG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.178627305,1.282918323,1.248029849,1.325595968,0.959740697,0.888224774,0.97132596,1.049383494,1.275275875,1.416857943,1.408098695,1.411699706,1.378372138,1.368165506,1.24706449,1.504976223,2.804405053,2.955213905,3.485692319,3.446955163,3.098635638,3.465207535,2.704496053,2.739062928,2.162039144,2.299717248,2.313678749,2.28438688,2.124939223,1.880371426,1.450915541,1.506926514,1.422532823,1.422803061,1.457038533,1.473074534,1.241228405,1.140139111,1.136317072,1.220359548,1.148823687,1.184234644,1.091880479,1.060893646,0.883295359,0.847154784,0.788233877,0.792548175,0.762756475,0.886508577,0.814878106,0.764287094,0.784824721,0.83773643,0.878100919,0.86472284,0.954768005
Armenia,ARM,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.095489753,2.121652479,,4.05931198,3.281866893,3.909403452,3.528096049,3.697375386,3.560024873,3.127249385,2.697714749,2.728372214,2.741996705,2.871931363,2.947613156,3.042574701,3.395579363,4.157049908,4.265646056,3.853946441,3.583766919,3.997244557,3.943378265,4.248951082,4.089885368
American Samoa,ASM,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.472593663,2.394646925,2.457956016,2.569971907,2.756591337,3.032525235,3.615694,3.937341236,4.04289581,3.586594568,3.092378189,2.913692247,2.796810064,2.622433811,2.456774365,2.43402295,2.398650271,2.345781754,2.343913731,2.337791487,2.388049716,2.470745065,2.501123557,2.645354519,2.626750972,2.669797688,2.64457577,2.523717176,2.301683896,2.162841583,2.122199764,2.170328612,2.212761335,2.22743826,2.183814559,2.084349491,1.979237082,1.919080621,1.919598774,1.939371981,1.896555634,1.928709624,1.939267702,1.909462105,1.89168877,1.878376109,1.893920425,1.888747885,1.884444384,1.930507909,1.950739417,1.828150325,1.697345585,1.683437761,1.799030152,1.978861063,2.001312495
Austria,AUT,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.288568936,1.22265546,1.187896499,1.150166636,1.099642857,1.113739022,1.097019517,1.063664944,1.038253691,1.019597081,0.992196272,0.980245979,0.980318028,0.908241361,0.883529203,0.913639409,0.893480392,0.853723727,0.789783772,0.905658929,0.876167774,0.838783241,0.824770261,0.794737315,0.782235047,0.754016806,0.753954995,0.672999897,
Azerbaijan,AZE,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.489574905,4.93372888,3.683168507,2.736901303,2.254230341,2.324049799,2.412355913,2.625109931,2.267862063,2.312062608,2.243321171,2.426362555,2.629450312,2.299069675,3.417753863,2.864194919,3.291211146,3.325421682,2.791004357,4.670135555,4.658592722,4.54092331,4.555020843,5.608679662,3.642770095
Burundi,BDI,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,3.9437938,0.434801293,0.44563757,1.354433777,1.382249731,1.332606884,1.414223331,1.754491378,,1.039609107,1.45864397,1.946204286,2.225123669,2.026984228,2.223624197,2.548794396,2.7913176,2.555921431,3.018650469,3.095367497,3.618708192,3.173716943,3.032808388,2.801838736,2.879862392,2.720880661,3.164762707,3.402680729,3.498127689,3.662139331,3.599734108,3.863536669,4.530615485,4.209072987,5.856328392,6.359393232,6.571714143,6.258234519,4.861850184,6.071040806,5.441041579,5.532779782,4.902661624,4.435617345,3.512254715,3.414900143,2.721230834,,,,2.385018691,2.2420093,2.009842197,2.136161197,2.207849268
Belgium,BEL,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,3.286989462,3.15495965,3.183210942,3.117823512,3.114391344,2.882446915,3.020493762,3.040809493,3.0238196,2.84714976,2.784953464,2.764103743,2.744229807,2.701121742,2.631298045,2.919465332,2.950730776,2.997676651,3.110876976,3.105517445,3.104485213,3.215110654,3.12334904,3.04830955,2.873054563,2.799823112,2.821351441,2.771703839,2.51089846,2.350531263,2.249843227,2.185132823,1.750186857,1.658140453,1.601954804,1.536415016,1.507673357,1.445817789,1.406115399,1.382981337,1.341210276,1.276506088,1.21571265,1.214986007,1.149271369,1.091559357,1.051239508,1.094533714,1.213897974,1.160040254,1.084631376,1.043507621,1.038193548,1.011918893,0.974807696,0.927002513,0.871419389
Benin,BEN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.575168089,0.92214514,1.156571494,1.166894193,1.409707809,1.377994196,1.229471879,1.277032608,1.31582075,1.214214636,1.228640489,1.278931466,1.195184865,1.328055848,1.162477032,1.160882911,1.025256918,1.352891415,0.920806043,1.480559653,1.680694998,1.331098817,1.305808934,1.62194539,2.020465874,1.894423054,1.966717012,2.27871932,2.27937981,1.898822451,1.674382553,,,,,,,,,0.663365739,0.564235731,0.489234998,0.851197745,0.884527271,0.924055932,0.93065751,0.909814422,,0.907423061,,,,0.959491603,0.939232504,0.957933118,1.09632502,1.143245482
Burkina Faso,BFA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.383841817,0.469141041,1.291409004,1.340288104,1.305948437,0.829792375,0.900585159,0.819761663,0.816742943,0.84124994,0.91314919,0.90036489,0.855151841,0.90093247,0.834617787,1.921585072,2.000030573,2.024690837,2.193864351,1.832017532,1.833378374,1.909845124,1.873298186,1.832040566,1.847298878,1.746005659,2.513387022,2.139922519,2.186007659,2.554547977,2.723552927,2.217051165,2.118653166,1.891744829,1.596541948,1.549170175,1.435960425,1.574935993,1.408061617,1.38460355,1.392430725,1.309456569,1.324823431,1.206865304,1.357519347,1.351771098,1.242719527,1.5922666,1.397904517,1.521455111,1.377515952,1.294759759,1.323023968,1.392055491,1.42868643,1.326917708,1.233386856
Bangladesh,BGD,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,0.606385211,0.596668868,0.570615907,1.079177419,1.323515852,1.008482064,0.894435335,0.92058143,0.946444296,1.100235558,1.363786579,1.309648061,1.087172908,1.158126848,1.184643092,1.270436151,1.323070018,1.240395616,1.264000251,1.393661947,1.486643424,1.625597104,1.637604289,1.406007251,1.452923392,1.450155475,1.468352305,1.43858422,1.351376767,1.255852225,1.201067522,1.196547198,1.165342272,1.185741381,1.1944305,1.123900473,1.232580973,1.418790085,1.458662361,1.414612667,1.334151376,1.361360312,1.460266386,1.44178968
