Country,,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Angola,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,. .,. .,. .,343,505,497,619,668,779,1066,1146,1156,1487,1469,1949,1751,1031,794,1774,595,234,160,457,170,1067,584,404,439,670,818,1365,1970,2032,3164,3311,3501,3639,4145,6091,6842,3608,2824
Benin,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,1.3,2.2,2.7,3.0,3.8,4.0,3.7,3.9,4.3,4.0,4.1,4.3,4.9,6.7,6.4,7.9,7.2,10.1,8.6,17.6,23.6,17.2,16.6,17.8,21.2,19.8,26.3,35.6,36.9,28.5,32.8,. .,. .,. .,. .,. .,. .,. .,. .,17.8,14.5,13.1,26.0,34.5,41.8,44.7,46.8,. .,64.7,. .,. .,. .,78.2,86.0,93.0,90.9,98.1
Botswana,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,5.7,14.3,24.4,31.8,31.2,23.6,24.5,26.1,21.0,34.3,73.8,93.7,103,156,172,178,186,170,166,141,161,181,170,185,210,224,301,314,284,273,306,332,330,349,363,327,306,346,384,514
Burkina Faso,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,1.3,1.6,4.9,5.3,5.4,3.5,3.9,3.7,3.8,4.0,4.2,4.3,4.9,6.1,6.3,18.1,19.5,22.9,32.4,32.0,35.4,33.9,32.9,29.3,27.0,27.1,51.2,50.7,57.2,66.8,84.5,69.5,71.1,60.5,30.3,36.9,37.1,38.5,39.5,41.7,36.7,36.8,42.5,50.8,65.7,73.8,72.6,108,117,127,124,139,148,166,177,148,149
Burundi,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,8.4,1.0,1.2,2.2,2.3,2.4,2.6,3.3,. .,2.6,3.6,5.9,7.7,8.5,10.0,14.0,17.0,20.0,27.8,30.0,36.7,34.4,29.9,32.2,34.6,30.8,34.3,37.9,39.6,42.8,39.0,36.3,41.9,42.1,50.9,61.9,58.7,50.6,42.3,53.2,44.9,43.4,44.9,49.6,44.7,46.3,43.9,. .,. .,. .,59.0,60.9,62.2,66.2,66.5
Cameroon,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,20.3,21.5,24.9,31.6,34.6,46.8,48.5,55.2,71.4,88.4,100,120,132,130,127,116,145,163,154,147,181,178,184,168,94.5,114,117,119,137,145,123,124,146,188,221,223,257,297,347,343,354,347,354,393,402,354,387
Cape Verde,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,. .,. .,. .,. .,. .,. .,. .,. .,. .,3.7,3.4,4.5,5.0,5.1,. .,. .,. .,3.6,2.7,3.4,6.2,4.3,4.1,4.5,5.0,6.8,4.6,4.5,5.8,6.5,7.1,7.0,7.9,10.8,8.4,8.2,9.8,9.7,9.8,10.0,8.9,10.2
Central African Rep.,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,21.6,23.2,19.1,10.7,13.0,12.2,. .,. .,. .,. .,. .,10.7,15.0,15.1,15.4,. .,19.1,31.5,36.0,51.6,. .,. .,. .,. .,. .,. .
Chad,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,39.4,40.0,37.8,48.8,34.3,78,56.4,34.3,. .,35.3,39.2,22.2,20.0,24.8,16.6,16.1,21.0,21.3,26.2,34.3,40.9,50.5,55.5,223,389,611,739,616,610,. .,726,392,221,267
Congo,,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,13.1,13.7,12.7,19.4,24.1,33.5,34.3,36.6,38.0,52.6,57.4,63.5,72.4,. .,49.4,55.6,. .,101,. .,. .,. .,. .,126,109,. .,. .,. .,. .,. .,. .,. .,54.4,70.7,93.8,124,101,127,168,208,. .,218,. .,. .,367,705,. .,562
